Text,Date,Time,Draft,Brand name,Facebook,Instagram,Picture URL 1,Alt text picture 1,Instagram Post Type,Facebook Post Type,Facebook Title,Facebook First Comment Text
"Condo Storage Ideas for Toronto & Vancouver Renters

Condo storage ideas for small Toronto and Vancouver units — no-drill solutions, condo locker alternatives, and real CAD prices from Amazon.ca, IKEA, and HomeSense.

Read the full guide: https://smallspacehome.ca/blog/condo-storage-ideas-toronto-vancouver",2026-08-15,21:00:00,FALSE,SmallSpaceHome,TRUE,FALSE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/condo-storage-ideas-toronto-vancouver-fb.png,Condo Storage Ideas for Toronto & Vancouver Renters,,POST,Condo Storage Ideas for Toronto & Vancouver Renters,
"Cozy Winter Apartment Decor for Renters

Cozy winter apartment decor ideas for Canadian renters — textiles, lighting, scent, and seasonal touches that make a small apartment feel warm all winter.

Save this post for later. Full guide — link in bio.

#cozyapartment #cozysmallapartment #winterapartmentideas #winterdecor #canada #hygge #seasonaldecor #smallspaceliving #apartmenttherapy #renterfriendly",2026-08-16,19:00:00,FALSE,SmallSpaceHome,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/cozy-winter-apartment-decor-ig.png,Cozy Winter Apartment Decor for Renters,POST,,,
"Cozy Winter Apartment Decor for Renters

Cozy winter apartment decor ideas for Canadian renters — textiles, lighting, scent, and seasonal touches that make a small apartment feel warm all winter.

Read the full guide: https://smallspacehome.ca/blog/cozy-winter-apartment-decor",2026-08-16,19:00:00,FALSE,SmallSpaceHome,TRUE,FALSE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/cozy-winter-apartment-decor-fb.png,Cozy Winter Apartment Decor for Renters,,POST,Cozy Winter Apartment Decor for Renters,
"Dollarama Finds That Look Expensive in a Small Apartment

The Dollarama items that read as high-end in a Canadian rental — glass vases, ceramic planters, and trays for $1–$5 CAD, plus the exact styling tricks that hide the price tag.

Save this post for later. Full guide — link in bio.

#dollarama #budgetdecor #cheapapartmentdecor #dollarstorehacks #canada #smallapartment #renterfriendly #smallspaceliving #apartmenttherapy #canadianhomes",2026-08-16,21:00:00,FALSE,SmallSpaceHome,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/dollarama-finds-look-expensive-ig.png,Dollarama Finds That Look Expensive in a Small Apartment,POST,,,
"Dollarama Finds That Look Expensive in a Small Apartment

The Dollarama items that read as high-end in a Canadian rental — glass vases, ceramic planters, and trays for $1–$5 CAD, plus the exact styling tricks that hide the price tag.

Read the full guide: https://smallspacehome.ca/blog/dollarama-finds-look-expensive",2026-08-16,21:00:00,FALSE,SmallSpaceHome,TRUE,FALSE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/dollarama-finds-look-expensive-fb.png,Dollarama Finds That Look Expensive in a Small Apartment,,POST,Dollarama Finds That Look Expensive in a Small Apartment,
"Facebook Marketplace Finds for Furnishing on a Budget

How to use Facebook Marketplace to furnish a small Canadian apartment for less — search tips, safety rules for pickups, and real CAD price ranges.

Save this post for later. Full guide — link in bio.

#facebookmarketplace #secondhandfurniture #budgetfurniture #apartmentfurnishing #canada #smallapartment #renterfriendly #smallspaceliving #apartmenttherapy #canadianhomes",2026-08-17,19:00:00,FALSE,SmallSpaceHome,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/facebook-marketplace-furnishing-budget-ig.png,Facebook Marketplace Finds for Furnishing on a Budget,POST,,,
"Facebook Marketplace Finds for Furnishing on a Budget

How to use Facebook Marketplace to furnish a small Canadian apartment for less — search tips, safety rules for pickups, and real CAD price ranges.

Read the full guide: https://smallspacehome.ca/blog/facebook-marketplace-furnishing-budget",2026-08-17,19:00:00,FALSE,SmallSpaceHome,TRUE,FALSE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/facebook-marketplace-furnishing-budget-fb.png,Facebook Marketplace Finds for Furnishing on a Budget,,POST,Facebook Marketplace Finds for Furnishing on a Budget,
"Fall Apartment Decorating Ideas (Canada)

Fall apartment decorating ideas for Canadian renters — seasonal textures, warm tones, and autumn touches that need no permanent changes or a big budget.

Save this post for later. Full guide — link in bio.

#falldecor #autumndecoratingideas #fallapartmentideas #autumnapartment #canada #seasonaldecor #renterfriendly #smallspaceliving #apartmenttherapy #canadianhomes",2026-08-17,21:00:00,FALSE,SmallSpaceHome,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/fall-apartment-decorating-ideas-ig.png,Fall Apartment Decorating Ideas (Canada),POST,,,
"Fall Apartment Decorating Ideas (Canada)

Fall apartment decorating ideas for Canadian renters — seasonal textures, warm tones, and autumn touches that need no permanent changes or a big budget.

Read the full guide: https://smallspacehome.ca/blog/fall-apartment-decorating-ideas",2026-08-17,21:00:00,FALSE,SmallSpaceHome,TRUE,FALSE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/fall-apartment-decorating-ideas-fb.png,Fall Apartment Decorating Ideas (Canada),,POST,Fall Apartment Decorating Ideas (Canada),
"Free & Cheap Apartment Decor — DIY vs. Buy

Which apartment decor projects actually save money and which ones cost more in time and materials than just buying? A Canadian renter's honest DIY vs. buy breakdown.

Save this post for later. Full guide — link in bio.

#freeapartmentdecor #cheapapartmentdecor #diyapartmentdecor #apartmentdecor #canada #budgetdecor #renterfriendly #smallspaceliving #apartmenttherapy #canadianhomes",2026-08-18,19:00:00,FALSE,SmallSpaceHome,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/free-cheap-apartment-decor-diy-vs-buy-ig.png,Free & Cheap Apartment Decor: DIY vs. Buy,POST,,,
"Free & Cheap Apartment Decor: DIY vs. Buy

Which apartment decor projects actually save money and which ones cost more in time and materials than just buying? A Canadian renter's honest DIY vs. buy breakdown.

Read the full guide: https://smallspacehome.ca/blog/free-cheap-apartment-decor-diy-vs-buy",2026-08-18,19:00:00,FALSE,SmallSpaceHome,TRUE,FALSE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/free-cheap-apartment-decor-diy-vs-buy-fb.png,Free & Cheap Apartment Decor: DIY vs. Buy,,POST,Free & Cheap Apartment Decor: DIY vs. Buy,
"17 Fridge & Pantry Organization Ideas for Small Kitchens

Practical, renter-friendly fridge and pantry organization ideas for Canadian small-space apartments—no drilling, no mess, all effective.

Save this post for later. Full guide — link in bio.

#smallkitchen #apartmentstorage #canada #smallspace #kitchenorganization #smallspaceliving #apartmenttherapy #renterfriendly #canadianhomes #smallspacehome",2026-08-18,21:00:00,FALSE,SmallSpaceHome,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/fridge-pantry-organization-small-apartment-ig.png,17 Fridge & Pantry Organization Ideas for Small Kitchens,POST,,,
"17 Fridge & Pantry Organization Ideas for Small Kitchens

Practical, renter-friendly fridge and pantry organization ideas for Canadian small-space apartments—no drilling, no mess, all effective.

Read the full guide: https://smallspacehome.ca/blog/fridge-pantry-organization-small-apartment",2026-08-18,21:00:00,FALSE,SmallSpaceHome,TRUE,FALSE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/fridge-pantry-organization-small-apartment-fb.png,17 Fridge & Pantry Organization Ideas for Small Kitchens,,POST,17 Fridge & Pantry Organization Ideas for Small Kitchens,
"How to Decorate a Small Living Room

A step-by-step guide to decorating a small living room in a Canadian rental — layout, lighting, furniture scale, colour, and storage, in the right order.

Save this post for later. Full guide — link in bio.

#smalllivingroom #howtodecorateasmallspace #decoratingsmallspaces #livingroomdecor #canada #renterfriendly #apartment #smallspaceliving #apartmenttherapy #canadianhomes",2026-08-19,19:00:00,FALSE,SmallSpaceHome,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/how-to-decorate-a-small-living-room-ig.png,How to Decorate a Small Living Room,POST,,,
"How to Decorate a Small Living Room

A step-by-step guide to decorating a small living room in a Canadian rental — layout, lighting, furniture scale, colour, and storage, in the right order.

Read the full guide: https://smallspacehome.ca/blog/how-to-decorate-a-small-living-room",2026-08-19,19:00:00,FALSE,SmallSpaceHome,TRUE,FALSE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/how-to-decorate-a-small-living-room-fb.png,How to Decorate a Small Living Room,,POST,How to Decorate a Small Living Room,
"How to Make a Small Room Look Bigger

13 visual tricks that make any small room in a Canadian apartment look bigger — colour, mirrors, lighting, furniture, and layout. No renovation required.

Save this post for later. Full guide — link in bio.

#smallroom #makearoomlookbigger #makeroombigger #canada #apartmenttips #smallspacetricks #smallspaceliving #apartmenttherapy #renterfriendly #canadianhomes",2026-08-19,21:00:00,FALSE,SmallSpaceHome,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/how-to-make-a-small-room-look-bigger-ig.png,How to Make a Small Room Look Bigger,POST,,,
"How to Make a Small Room Look Bigger

13 visual tricks that make any small room in a Canadian apartment look bigger — colour, mirrors, lighting, furniture, and layout. No renovation required.

Read the full guide: https://smallspacehome.ca/blog/how-to-make-a-small-room-look-bigger",2026-08-19,21:00:00,FALSE,SmallSpaceHome,TRUE,FALSE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/how-to-make-a-small-room-look-bigger-fb.png,How to Make a Small Room Look Bigger,,POST,How to Make a Small Room Look Bigger,
"15 IKEA Small Space Hacks for Apartments

15 IKEA small space hacks for Canadian apartments — furniture combos, storage tricks, and unexpected uses, with real CAD prices and what actually works.

Save this post for later. Full guide — link in bio.

#ikeahacks #ikeasmallapartment #ikeaapartmenthacks #smallspace #canada #apartmentideas #ikea #smallspaceliving #apartmenttherapy #renterfriendly",2026-08-20,19:00:00,FALSE,SmallSpaceHome,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/ikea-small-space-hacks-ig.png,15 IKEA Small Space Hacks for Apartments,POST,,,
"15 IKEA Small Space Hacks for Apartments

15 IKEA small space hacks for Canadian apartments — furniture combos, storage tricks, and unexpected uses, with real CAD prices and what actually works.

Read the full guide: https://smallspacehome.ca/blog/ikea-small-space-hacks",2026-08-20,19:00:00,FALSE,SmallSpaceHome,TRUE,FALSE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/ikea-small-space-hacks-fb.png,15 IKEA Small Space Hacks for Apartments,,POST,15 IKEA Small Space Hacks for Apartments,
"January Reset — Apartment Organization

15 January reset organization ideas for small Canadian apartments — declutter, reset every room, and build systems that actually hold through the year.

Save this post for later. Full guide — link in bio.

#januaryreset #newyearorganization #resetapartment #organization #newyear #declutter #canada #smallapartment #smallspaceliving #apartmenttherapy",2026-08-20,21:00:00,FALSE,SmallSpaceHome,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/january-reset-organization-ideas-ig.png,January Reset: Apartment Organization,POST,,,
"January Reset: Apartment Organization

15 January reset organization ideas for small Canadian apartments — declutter, reset every room, and build systems that actually hold through the year.

Read the full guide: https://smallspacehome.ca/blog/january-reset-organization-ideas",2026-08-20,21:00:00,FALSE,SmallSpaceHome,TRUE,FALSE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/january-reset-organization-ideas-fb.png,January Reset: Apartment Organization,,POST,January Reset: Apartment Organization,
"Minimalist Small Apartment Ideas for Renters

Minimalist ideas for small Canadian rentals — how to declutter, edit, and design a space that feels calm, spacious, and intentional without overspending.

Save this post for later. Full guide — link in bio.

#minimalistapartment #minimalistsmallapartment #minimalapartments #minimalism #canada #smallapartment #declutter #smallspaceliving #apartmenttherapy #renterfriendly",2026-08-21,19:00:00,FALSE,SmallSpaceHome,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/minimalist-small-apartment-ideas-ig.png,Minimalist Small Apartment Ideas for Renters,POST,,,
"Minimalist Small Apartment Ideas for Renters

Minimalist ideas for small Canadian rentals — how to declutter, edit, and design a space that feels calm, spacious, and intentional without overspending.

Read the full guide: https://smallspacehome.ca/blog/minimalist-small-apartment-ideas",2026-08-21,19:00:00,FALSE,SmallSpaceHome,TRUE,FALSE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/minimalist-small-apartment-ideas-fb.png,Minimalist Small Apartment Ideas for Renters,,POST,Minimalist Small Apartment Ideas for Renters,
"10 Multifunctional Furniture Ideas for Small Rentals

Space-saving furniture ideas Canadian renters love—no drilling, full ROI, renter-friendly picks that work in any small apartment.

Save this post for later. Full guide — link in bio.

#multifunctionalfurniture #multifunctionalfurnituresmallspace #spacesavingfurniture #smallspacefurniture #canada #smallspace #rentalfriendly #smallspaceliving #apartmenttherapy #renterfriendly",2026-08-21,21:00:00,FALSE,SmallSpaceHome,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/multifunctional-furniture-small-apartment-ig.png,10 Multifunctional Furniture Ideas for Small Rentals,POST,,,
"10 Multifunctional Furniture Ideas for Small Rentals

Space-saving furniture ideas Canadian renters love—no drilling, full ROI, renter-friendly picks that work in any small apartment.

Read the full guide: https://smallspacehome.ca/blog/multifunctional-furniture-small-apartment",2026-08-21,21:00:00,FALSE,SmallSpaceHome,TRUE,FALSE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/multifunctional-furniture-small-apartment-fb.png,10 Multifunctional Furniture Ideas for Small Rentals,,POST,10 Multifunctional Furniture Ideas for Small Rentals,
"15 Pet-Friendly Small Apartment Setup Ideas

Practical, renter-approved pet setup ideas for small Canadian apartments—no drilling, no damage, all effective.

Save this post for later. Full guide — link in bio.

#petfriendly #smallspace #canada #renterhacks #apartmentpets #smallspaceliving #apartmenttherapy #renterfriendly #canadianhomes #smallspacehome",2026-08-22,19:00:00,FALSE,SmallSpaceHome,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/pet-friendly-small-apartment-ideas-ig.png,15 Pet-Friendly Small Apartment Setup Ideas,POST,,,
"15 Pet-Friendly Small Apartment Setup Ideas

Practical, renter-approved pet setup ideas for small Canadian apartments—no drilling, no damage, all effective.

Read the full guide: https://smallspacehome.ca/blog/pet-friendly-small-apartment-ideas",2026-08-22,19:00:00,FALSE,SmallSpaceHome,TRUE,FALSE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/pet-friendly-small-apartment-ideas-fb.png,15 Pet-Friendly Small Apartment Setup Ideas,,POST,15 Pet-Friendly Small Apartment Setup Ideas,
"Quebec Moving Day Storage & Packing Guide for Renters

Quebec's July 1 Moving Day floods Montreal with movers and boxes on one single date. Here's how to pack, store, and survive it as a renter — no drilling.

Save this post for later. Full guide — link in bio.

#movingdayquebec #montrealrenters #july1moving #movingdaystoragetips #apartmentstorage #packingtips #smallspaceliving #apartmenttherapy #renterfriendly #canadianhomes",2026-08-22,21:00:00,FALSE,SmallSpaceHome,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/quebec-moving-day-storage-guide-ig.png,Quebec Moving Day Storage & Packing Guide for Renters,POST,,,
"Quebec Moving Day Storage & Packing Guide for Renters

Quebec's July 1 Moving Day floods Montreal with movers and boxes on one single date. Here's how to pack, store, and survive it as a renter — no drilling.

Read the full guide: https://smallspacehome.ca/blog/quebec-moving-day-storage-guide",2026-08-22,21:00:00,FALSE,SmallSpaceHome,TRUE,FALSE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/quebec-moving-day-storage-guide-fb.png,Quebec Moving Day Storage & Packing Guide for Renters,,POST,Quebec Moving Day Storage & Packing Guide for Renters,
"Renter-Friendly Apartment Decor Ideas

Decorate your rental apartment without losing your deposit. These renter-friendly decor ideas use Command strips, removable wallpaper, and no-drill solutions.

Save this post for later. Full guide — link in bio.

#renterfriendly #renterfriendlyapartmentideas #nodrillsolutions #apartmentdecor #nodrill #removablewallpaper #smallspaceliving #apartmenttherapy #canadianhomes #smallspacehome",2026-08-23,19:00:00,FALSE,SmallSpaceHome,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/renter-friendly-apartment-decor-ideas-ig.png,Renter-Friendly Apartment Decor Ideas,POST,,,
"Renter-Friendly Apartment Decor Ideas

Decorate your rental apartment without losing your deposit. These renter-friendly decor ideas use Command strips, removable wallpaper, and no-drill solutions.

Read the full guide: https://smallspacehome.ca/blog/renter-friendly-apartment-decor-ideas",2026-08-23,19:00:00,FALSE,SmallSpaceHome,TRUE,FALSE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/renter-friendly-apartment-decor-ideas-fb.png,Renter-Friendly Apartment Decor Ideas,,POST,Renter-Friendly Apartment Decor Ideas,
"Renter-Friendly Bike Storage for Small Apartments

No garage, no drilling, still no bike blocking your hallway. Renter-friendly bike storage for small Canadian apartments — wall hooks, floor stands, and balcony options.

Save this post for later. Full guide — link in bio.

#bikestorage #renterfriendly #smallapartmentstorage #nodrillstorage #apartmentorganization #canada #entrywaystorage #smallspaceliving #apartmenttherapy #canadianhomes",2026-08-23,21:00:00,FALSE,SmallSpaceHome,FALSE,TRUE,https://raw.githubusercontent.com/badreddineX/SmallSpaceHome.BLOG/f4cc247d2cf7ef09e3bb015c681cb5c881f8e71d/social-posts/2026-08-13/renter-friendly-bike-storage-small-apartments-ig.png,Renter-Friendly Bike Storage for Small Apartments,POST,,,
